"HolderAddress","Balance","PendingBalanceUpdate"
"0x986e7f524b2833d21713346040721873be1eb459","1.176256E-12","No"
"0x9873b4bdefc0843a79f804de15640861d7886740","3.03884E-13","No"
"0x98ab5c77435a7c19248e643b3d837b3805a149be","2.07509E-13","No"
"0x99259bc8735dcdcc4e94af15444fd30161c4f06f","2.79957E-13","No"
"0x99e011894390611d7c2b271f77977848257c4115","4.87398E-13","No"
"0x9b815dd3e2d30cfef33266fa4c6a7b37bd99edfe","2.35148E-13","No"
"0x9b846537e288d8467ccd9ffc85a729de90b41736","2.50536E-13","No"
"0x9bd2893707a7b735f117c6f87f51687f4bbab406","7.74367E-13","No"
"0x9c6e4c937b469f29ec5d790906b11aa1410e3645","4.23917E-13","No"
"0x9cbcdf78fadeff49fb2c1458db8931b173390ea5","1.768E-14","No"
"0xa1d05f93a42a67c2aba330c3fab85c4aa4571128","9.5485E-14","No"
"0xa2a6117bda69d57dbb98fee113dad91fd503337e","2.95644E-13","No"
"0xa2efe0f8f495df65eeb81862622879ed6c6fcb0a","6.304131E-12","No"
"0xa323954f0c884d155cba785e059a2d72526532b8","5.4404E-14","No"
"0xa3573c6df9bb4e26cb89982c7d81cd63cb6fe1b6","5.5654E-14","No"
"0xa4e40b3d3e1b04043c4cb89810e055a78caf272b","8.907E-15","No"
"0xa55032def18d8183666b6e711bf576797bb8e94b","3.48937E-13","No"
"0xa6db85660c54d1e5158c56a6f3f061e71bc84439","8.2874E-14","No"
"0xa737595d2a22d9c88ca8ec120d96488cf58d7023","2.73017E-13","No"
"0xa742a54e0b9cd1cac03c8f569ba4c606694261f9","2.0979E-14","No"
"0xaa422580b14e2adf578e3f12ae4c27e8b802ddd6","1.26446E-13","No"
"0xaadd94e2b39e39b13828d51784e79ad1afc8e9e9","5.208256E-12","No"
"0xab3aab7481b1280830721ba0fb50bd05f41b37a1","6.5417E-14","No"
"0xabb4efeedde8e7a529292d4de77ec22448872f04","2.4E-14","No"
"0xabebc24b95a764cd3b84132aa4bd0453e277a765","5.64244E-13","No"
"0xac11304308621059f6622a6f7d090e1c573c79a8","1.41641E-13","No"
"0xad0af1dbb3707844cc1188854121984b77c2457c","3.06696E-13","No"
"0xade4c10d159a8cbd414f9a51c03a8a0e5b056430","6.9608E-14","No"
"0xadf094b2b6d2c6f4d8e60f714be005a378b26d36","2.8896E-13","No"
"0xb08fa2dce2352fa89e682cf35da0396517d634ac","3.11955E-13","No"
"0xb2267712b8ce002046e56358eb2e714a680a76a7","3.02851E-13","No"
"0xb2e5c3ee488b3a1910cd667bd81e647910e068b9","3.17221E-13","No"
"0xb33e0892e8d87f99f668834854603d5dde5ffea8","1.75E-14","No"
"0xb3a751a6a4b6006dd1db4429a2e38ffa17f1083a","7.441E-14","No"
"0xb7dd8dab4c64938148f0880d5473f532a245274f","2.538E-15","No"
"0xb91efe41e38d2d6441c45bbf7a5704b9a1beb905","7.97448E-13","No"
"0xb95b793394c86c49746c3c88db936afa630828a2","3.4463E-14","No"
"0xbc5a181f70cdda46a26fb4f79660fde5ecd2c2ef","2.806E-15","No"
"0xbc8d5cb9a990958784f27606a515fc363f6ccbcb","4.38706E-13","No"
"0xbe8994684d2a570a84c3ac28459bc83e7d80e3b9","3.5427E-14","No"
"0xbf06f8d30e2fad6d7d20af162c7865d8d0820799","1.219769E-12","No"
"0xbf66a8ba07c62310c1b7ba9336d00443df7c1506","4.0711E-14","No"
"0xc0fe68daf1a5be661fefad5c466c981a626fae86","3.14741E-13","No"
"0xc67c6e8f19eeb70d3fffba95e5ce9de2d163ed31","3.02851E-13","No"
"0xc705d5ccae2782902179f407894cb714d4ceab30","3.68327E-13","No"
"0xc7316e3d768b79adf4d9b9a85c234ae181056659","3.264E-15","No"
"0xc76318efb58665e4bf32c5c480181d7528edc342","2.58122E-13","No"
"0xc7de4b4042cbb0907b719c1315796dd08c3a332c","3.5082E-14","No"
"0xca9b237d498dfe3b90e553df9cbc0e2ec92d9fd5","1.70935E-13","No"
"0xcc1cdbac6ecce9576d289fbf304fcc53dc9b4e38","3.04276E-13","No"
"0xd256c2324f3e36d06f5e645d309434b185c58e7f","5.30918E-13","No"
"0xd491447348c474af15c40839d3e0056a80fec352","5.68708E-13","No"
"0xd5af66b5c817f0f0f094640b83885a1cdda5fd14","6.52854E-13","No"
"0xd852e79b694fd52303522a01bd45fe95c2cf5c15","1.96219E-13","No"
"0xd9d11c9e45b494e0553ce9e12e1b93a616b4e27c","4.352E-15","No"
"0xdada9c65d3bf664d0890efaa61396e7d7e274611","1.29106E-13","No"
"0xdc0c12776009738db026b9c750b079be7aa00967","3.7812E-14","No"
"0xdcfcbd0ee537882be942477c0955b97ff1903320","1.370589E-12","No"
"0xdd54b1a309332d9d79e635bbca965e250d5e886b","2.7132E-14","No"
"0xdd5fb55fe2f3b1e05887d840c1e60ddfe14479a6","4.352E-15","No"
"0xde65efd2d2ddadfd24493713383d2b8664fda195","5.9364E-14","No"
"0xde857c6b2b4d5987e2b2537efb7a224467b8aa2c","2.2E-14","No"
"0xdfc402e10e8ccd95498b262de56015ba6a3f37d9","5.053E-15","No"
"0xe0050f2a8aa898da5829c5f1a270315062c56d30","3.04775E-13","No"
"0xe0060a8acd62941b06594dc69376eb2dbbeb9160","1.1420972E-11","No"
"0xe096a6b6579166ad58d901efa214fdceb4a0a463","2.37668E-13","No"
"0xe157fbc5de9b7d6203ac659c7f3c67d9407763ec","1.166955E-12","No"
"0xe22bd7774bedaa31207a5f1de123142eaaf6bd33","1.01243E-12","No"
"0xe400907c43a84b59f8926836094286ef9a728182","3.168E-15","No"
"0xe5dae94acb7fc053ce4987d5d6932e8b4cd7cb3b","3.4631E-14","No"
"0xe7207afc5cd57625b88e2ddbc4fe9de794a76b0f","3.0629E-14","No"
"0xe8a4e0c7cbeb034fce661f08a52719592e7ad5fc","2.94363E-13","No"
"0xe8e61db7918bd88e5ff764ad5393e87d7aaef9ad","9.95603E-13","No"
"0xe8feb25d2e730632150dfd98545fe486b1be1351","1.7231E-14","No"
"0xeafb92c7175a4a6439588e42236c2e28af1f2dac","3.06581E-13","No"
"0xeb14bb8f32c754eb64327228fa7454be1a2adb5f","7.8427E-14","No"
"0xeb5472754882c7f6662728daa655321f2d28f5ac","2.90791E-13","No"
"0xeb7dd46650e77b888fcd1127cd9b1e4dc3ba2256","1.63834E-13","No"
"0xecdc34b33cc9a0597e5b5072e724fa86fc90ee4e","2.83283E-13","No"
"0xed53c087b05d1360e78f8a3e4dc59f8d342296f9","3.57183E-13","No"
"0xf07822a79d5e9ef1f72727e8074a905fb8cb0e96","1.72809E-13","No"
"0xf091bbaf05dbb6da325638f09845b794dc9e9255","5.60113E-13","No"
"0xf0ac3431af8e2ac38678cfb0b6cc887700039fbb","2.79957E-13","No"
"0xf0bc1701e43fd19d75236be8f0210023158876ae","1.04681E-13","No"
"0xf1e3fedce4c08712bcab61250ccf5eef14c2d176","3.8576E-14","No"
"0xf370e4bb94afae618a3ad4fe4593161c161a55c5","2.9438E-13","No"
"0xf3c9f9a4a3131b66a4bc49bc6690b87e03ada870","5.71383E-13","No"
"0xf3fd80e91996f3b69587bbcce6c5f18c225bc313","7.35296E-13","No"
"0xf54debe57698b40bc3605904879e9e197022bef5","3.84193E-13","No"
"0xf55914186a692a3335ff44ae107fa724b1074ddc","9.89E-15","No"
"0xf5b1d7941ad51bf083c940c24f5aeb056d836783","1.09081E-13","No"
"0xf602c97a012860659ff376b313f7ca5b7b613459","3.50089E-13","No"
"0xf7e233c0ad9b3419c9ef7afe27b5328f5cbe729f","1.54196E-13","No"
"0xf872ea3e3bc2d9efcb660de497a6f1c50e4ad25d","4.8238E-14","No"
"0xfc1ca508a0e36e362cdbf17780ea8db796fc0740","3.8573838E-11","No"
"0xfc7a5070cfcc7f7c5122e5c85107f6530c949bd1","4.682E-15","No"
"0xfd63bf84471bc55dd9a83fdfa293ccbd27e1f4c8","7.6587E-14","No"
"0xffb6d97bd1e7b7bd08595096d15037401a1f416b","1.1946143E-11","No"
"0xffde865353cb473544b8f98965a9d1f284dda3b5","9.2125E-14","No"
